Годы;Год. доб. нефти, тыс.т;Нак. доб. нефти, тыс.т;Год. доб. воды, тыс.т;Нак. доб. воды, тыс.т;Год. доб. газа, млн.м3;Нак. доб. газа, млн.м3;Дебит нефти, т/сут;Дебит воды, т/сут;Дебит жидк., т/сут;Обводнен-ность, %;по нефти;по жидкости;Пласт. давление, МПа;Забойное давление, МПа;Туст, 0С
1;4,91;4,91;2,19;2,19;2,84;2,84;13,73;6,11;19,85;30,80;578,64;400,41;13,12;5,00;15,92
2;4,36;9,27;1,72;3,91;2,69;5,53;12,19;4,82;17,01;28,34;615,90;441,33;12,66;5,00;14,51
3;4,18;13,45;1,48;5,39;2,59;8,12;11,69;4,14;15,83;26,16;619,11;457,14;12,31;5,00;13,91
4;4,00;17,45;1,32;6,72;2,50;10,61;11,19;3,70;14,89;24,87;624,07;468,84;12,01;5,00;13,45
5;3,81;21,27;1,23;7,95;2,42;13,03;10,66;3,45;14,11;24,46;633,40;478,45;11,72;5,00;13,06
6;3,61;24,88;1,14;9,09;2,33;15,35;10,10;3,18;13,28;23,97;643,90;489,55;11,46;5,00;12,64
7;3,43;28,31;1,06;10,15;2,25;17,60;9,58;2,97;12,56;23,67;655,41;500,27;11,21;5,00;12,28
8;3,25;31,56;0,99;11,14;2,17;19,77;9,10;2,76;11,86;23,29;667,91;512,34;10,98;5,00;11,93
9;3,11;34,67;0,91;12,05;2,11;21,89;8,69;2,55;11,24;22,67;679,35;525,37;10,76;5,00;11,62
10;2,96;37,63;0,83;12,88;2,04;23,93;8,28;2,32;10,60;21,85;689,59;538,90;10,56;5,00;11,30
11;2,84;40,47;0,74;13,62;1,98;25,91;7,94;2,08;10,02;20,72;698,43;553,71;10,38;5,00;11,01
12;2,73;43,20;0,67;14,29;1,94;27,85;7,64;1,87;9,51;19,70;710,35;570,43;10,20;5,00;10,75
13;2,63;45,84;0,60;14,89;1,91;29,76;7,37;1,67;9,04;18,49;724,45;590,53;10,03;5,00;10,52
14;2,53;48,37;0,53;15,42;1,86;31,62;7,09;1,49;8,57;17,34;734,80;607,41;9,88;5,00;10,29
15;2,46;50,83;0,48;15,90;1,82;33,45;6,87;1,34;8,20;16,31;741,99;621,00;9,73;5,00;10,10
16;2,39;53,22;0,43;16,34;1,78;35,23;6,68;1,21;7,89;15,38;746,88;632,05;9,59;5,00;9,94
17;2,33;55,55;0,40;16,74;1,76;36,99;6,51;1,12;7,63;14,69;756,44;645,36;9,45;5,00;9,82
18;2,26;57,81;0,38;17,11;1,73;38,72;6,32;1,06;7,38;14,35;766,68;656,69;9,33;5,00;9,69
19;2,21;60,01;0,36;17,47;1,71;40,43;6,17;1,00;7,17;13,98;774,05;665,85;9,21;5,00;9,58
20;2,16;62,17;0,34;17,81;1,68;42,11;6,04;0,95;6,99;13,58;778,31;672,62;9,10;5,00;9,49
21;2,12;64,30;0,32;18,14;1,66;43,77;5,94;0,90;6,84;13,19;781,25;678,23;8,99;5,00;9,42
22;2,08;66,37;0,31;18,44;1,63;45,40;5,81;0,85;6,66;12,81;783,36;683,05;8,89;5,00;9,33
23;2,04;68,41;0,29;18,73;1,60;47,00;5,70;0,81;6,51;12,44;784,62;687,02;8,79;5,00;9,25
24;2,00;70,41;0,28;19,00;1,57;48,57;5,59;0,77;6,36;12,09;785,17;690,26;8,70;5,00;9,18
25;1,97;72,38;0,26;19,27;1,55;50,12;5,51;0,74;6,25;11,81;784,82;692,10;8,61;5,00;9,12
26;1,93;74,32;0,26;19,53;1,52;51,63;5,40;0,72;6,13;11,81;783,73;691,18;8,53;5,00;9,06
27;1,90;76,22;0,25;19,78;1,49;53,12;5,32;0,71;6,03;11,81;782,00;689,67;8,45;5,00;9,02
28;1,88;78,10;0,25;20,03;1,46;54,58;5,25;0,70;5,95;11,79;779,64;687,76;8,38;5,00;8,97
29;1,86;79,95;0,25;20,28;1,44;56,02;5,19;0,69;5,88;11,75;776,81;685,55;8,31;5,00;8,94
30;1,83;81,78;0,24;20,52;1,41;57,44;5,11;0,68;5,79;11,70;773,65;683,15;8,24;5,00;8,89
31;1,81;83,59;0,24;20,76;1,39;58,83;5,05;0,66;5,71;11,64;770,62;680,94;8,18;5,00;8,86
32;1,78;85,37;0,23;20,99;1,37;60,20;4,99;0,65;5,64;11,57;767,53;678,70;8,12;5,00;8,82
33;1,77;87,14;0,23;21,22;1,35;61,55;4,95;0,64;5,59;11,50;764,56;676,61;8,07;5,00;8,80
34;1,75;88,89;0,23;21,45;1,33;62,88;4,88;0,63;5,51;11,43;761,76;674,65;8,02;5,00;8,76
35;1,73;90,62;0,22;21,67;1,31;64,20;4,83;0,62;5,46;11,40;759,02;672,53;7,98;5,00;8,73
36;1,71;92,33;0,22;21,89;1,30;65,49;4,79;0,61;5,40;11,35;756,57;670,68;7,93;5,00;8,70
37;1,70;94,03;0,22;22,11;1,28;66,78;4,76;0,61;5,36;11,30;754,38;669,10;7,89;5,00;8,68
38;1,68;95,71;0,21;22,32;1,26;68,04;4,70;0,60;5,30;11,24;751,66;667,16;7,85;5,00;8,65
39;1,67;97,38;0,21;22,53;1,25;69,29;4,67;0,59;5,25;11,17;748,84;665,19;7,81;5,00;8,63
40;1,66;99,04;0,21;22,74;1,24;70,53;4,63;0,58;5,21;11,10;746,25;663,44;7,78;5,00;8,60
41;1,65;100,69;0,20;22,94;1,23;71,75;4,61;0,57;5,18;11,02;743,98;661,98;7,74;5,00;8,59
42;1,63;102,32;0,20;23,14;1,21;72,96;4,56;0,56;5,12;10,95;742,10;660,88;7,71;5,00;8,56
43;1,62;103,93;0,20;23,34;1,20;74,16;4,52;0,55;5,07;10,87;740,59;660,10;7,67;5,00;8,53
