Годы;Год. доб. нефти, тыс.т;Нак. доб. нефти, тыс.т;Год. доб. воды, тыс.т;Нак. доб. воды, тыс.т;Год. доб. газа, млн.м3;Нак. доб. газа, млн.м3;Дебит нефти, т/сут;Дебит воды, т/сут;Дебит жидк., т/сут;Обводнен-ность, %;по нефти;по жидкости;Пласт. давление, МПа;Забойное давление, МПа;Туст, 0С
1;3,19;3,19;12,65;12,65;0,58;0,58;8,92;35,37;44,29;79,87;182,41;36,72;15,68;5,00;28,14
2;3,14;6,33;9,26;21,91;0,60;1,19;8,77;25,88;34,65;74,69;192,51;48,73;14,96;5,00;23,32
3;2,86;9,19;7,48;29,39;0,58;1,76;7,99;20,92;28,91;72,36;201,94;55,82;14,43;5,00;20,46
4;2,64;11,82;6,26;35,66;0,56;2,32;7,37;17,51;24,88;70,38;211,13;62,54;14,04;5,00;18,44
5;2,45;14,27;5,46;41,11;0,54;2,86;6,85;15,26;22,11;69,01;220,55;68,34;13,72;5,00;17,05
6;2,28;16,55;4,88;46,00;0,52;3,38;6,38;13,66;20,04;68,16;229,78;73,16;13,47;5,00;16,02
7;2,14;18,70;4,47;50,47;0,51;3,90;5,99;12,50;18,49;67,60;238,59;77,30;13,24;5,00;15,25
8;2,02;20,72;4,14;54,61;0,50;4,40;5,64;11,58;17,23;67,23;247,43;81,08;13,05;5,00;14,61
9;1,91;22,63;3,88;58,49;0,49;4,89;5,34;10,85;16,19;67,00;256,78;84,73;12,87;5,00;14,09
10;1,80;24,43;3,64;62,13;0,48;5,37;5,03;10,17;15,20;66,88;266,48;88,26;12,71;5,00;13,60
11;1,71;26,13;3,44;65,57;0,47;5,84;4,77;9,61;14,38;66,82;276,46;91,73;12,56;5,00;13,19
12;1,62;27,76;3,26;68,83;0,47;6,31;4,53;9,12;13,65;66,80;291,95;96,94;12,42;5,00;12,82
13;1,55;29,30;3,11;71,94;0,48;6,79;4,32;8,70;13,02;66,83;309,54;102,68;12,28;5,00;12,51
14;1,47;30,77;2,96;74,91;0,48;7,27;4,10;8,29;12,39;66,89;326,48;108,10;12,14;5,00;12,20
15;1,40;32,17;2,84;77,75;0,48;7,75;3,92;7,94;11,86;66,95;342,35;113,16;12,02;5,00;11,93
16;1,34;33,51;2,73;80,47;0,48;8,23;3,76;7,63;11,38;67,01;357,36;117,91;11,90;5,00;11,69
17;1,29;34,81;2,63;83,11;0,48;8,71;3,61;7,36;10,97;67,08;371,74;122,36;11,78;5,00;11,49
18;1,24;36,04;2,53;85,64;0,48;9,19;3,46;7,08;10,53;67,20;385,67;126,51;11,67;5,00;11,27
19;1,19;37,23;2,45;88,09;0,47;9,66;3,32;6,84;10,16;67,32;398,94;130,37;11,56;5,00;11,08
20;1,14;38,37;2,37;90,45;0,47;10,13;3,20;6,62;9,81;67,43;411,34;133,98;11,46;5,00;10,91
21;1,11;39,48;2,30;92,75;0,47;10,60;3,09;6,43;9,52;67,54;423,10;137,36;11,35;5,00;10,76
22;1,06;40,54;2,22;94,97;0,46;11,06;2,98;6,22;9,19;67,63;434,10;140,50;11,26;5,00;10,60
23;1,03;41,57;2,16;97,14;0,46;11,52;2,88;6,04;8,92;67,71;444,21;143,42;11,16;5,00;10,46
24;1,00;42,57;2,10;99,24;0,45;11,97;2,79;5,88;8,67;67,80;454,13;146,23;11,07;5,00;10,33
25;0,97;43,54;2,05;101,29;0,45;12,42;2,71;5,74;8,45;67,89;463,91;148,94;10,98;5,00;10,22
26;0,94;44,48;1,99;103,28;0,44;12,86;2,62;5,58;8,20;67,99;473,53;151,56;10,90;5,00;10,10
27;0,91;45,39;1,95;105,23;0,44;13,31;2,55;5,44;7,99;68,11;483,11;154,08;10,81;5,00;9,99
28;0,89;46,28;1,90;107,13;0,44;13,74;2,48;5,31;7,79;68,22;492,48;156,51;10,73;5,00;9,89
29;0,86;47,14;1,86;108,99;0,43;14,17;2,41;5,21;7,62;68,34;501,71;158,86;10,65;5,00;9,81
30;0,84;47,98;1,82;110,81;0,43;14,60;2,34;5,08;7,42;68,45;510,83;161,14;10,57;5,00;9,71
31;0,82;48,79;1,78;112,59;0,42;15,03;2,28;4,97;7,25;68,57;519,70;163,36;10,50;5,00;9,62
32;0,79;49,59;1,74;114,33;0,42;15,45;2,22;4,87;7,09;68,67;528,19;165,50;10,42;5,00;9,54
33;0,78;50,36;1,71;116,04;0,42;15,86;2,17;4,78;6,96;68,76;536,35;167,55;10,35;5,00;9,48
34;0,76;51,12;1,67;117,71;0,41;16,27;2,12;4,68;6,80;68,85;544,07;169,50;10,28;5,00;9,40
35;0,74;51,86;1,64;119,36;0,41;16,68;2,07;4,59;6,66;68,93;551,61;171,38;10,21;5,00;9,33
36;0,72;52,59;1,61;120,97;0,40;17,09;2,03;4,51;6,54;69,01;558,97;173,23;10,15;5,00;9,27
37;0,71;53,30;1,59;122,56;0,40;17,49;1,99;4,44;6,43;69,08;568,03;175,64;10,08;5,00;9,22
38;0,70;53,99;1,56;124,12;0,40;17,89;1,94;4,36;6,30;69,15;577,16;178,05;10,02;5,00;9,15
39;0,68;54,67;1,53;125,65;0,40;18,29;1,91;4,28;6,19;69,21;585,79;180,34;9,96;5,00;9,10
40;0,67;55,34;1,51;127,16;0,40;18,69;1,87;4,22;6,09;69,26;593,84;182,52;9,90;5,00;9,04
41;0,66;56,00;1,49;128,65;0,40;19,09;1,84;4,16;6,00;69,31;601,38;184,58;9,84;5,00;9,00
42;0,65;56,65;1,46;130,11;0,39;19,48;1,81;4,08;5,89;69,35;608,63;186,57;9,78;5,00;8,94
43;0,64;57,28;1,44;131,54;0,39;19,87;1,78;4,02;5,80;69,38;615,43;188,47;9,73;5,00;8,90
